Country,Time,Long-term unemployment rate
Australia,2004,0.968131961828506
Australia,2005,0.905577974937131
Australia,2006,0.881941063859571
Australia,2007,0.824407547355266
Australia,2008,0.80695311517837
Australia,2009,1.16778848755529
Australia,2010,1.01985389200528
Australia,2011,1.00459719149564
Australia,2012,1.0475677415109
Australia,2013,1.15023587595292
Australia,2014,1.22584028030977
Australia,2015,1.2333970531263
Australia,2016,1.12997772517616
Australia,2017,1.14501112514776
Australia,2018,1.05638044074916
Austria,2004,1.5397466943641
Austria,2005,1.44754411216919
Austria,2006,1.48055691505742
Austria,2007,1.34138646110602
Austria,2008,1.01912718917199
Austria,2009,1.16814827639237
Austria,2010,1.24674757925303
Austria,2011,1.21614873689203
Austria,2012,1.23082009380108
Austria,2013,1.33363758441045
Austria,2014,1.55286466566658
Austria,2015,1.70106963848578
Austria,2016,1.9731483005126
Austria,2017,1.86461318820445
Austria,2018,1.42222049248056
Austria,2019,1.14413558147154
Austria,2020,1.33465770317879
Austria,2021,1.975793051636
Belgium,2004,4.13753869861909
Belgium,2005,4.39541879013216
Belgium,2006,4.24851541327586
Belgium,2007,3.77783495852555
Belgium,2008,3.33585533841714
Belgium,2009,3.515900559942
Belgium,2010,4.07292463833857
Belgium,2011,3.47443303936623
Belgium,2012,3.3963323146912
Belgium,2013,3.91172803624356
Belgium,2014,4.29334018586016
Belgium,2015,4.43038171800628
Belgium,2016,4.07129007321648
Belgium,2017,3.48745067036965
Belgium,2018,2.92224010942053
Belgium,2019,2.35369541361427
Belgium,2020,2.33554706348708
Belgium,2021,2.6690886033702
Canada,2004,0.68932768770992
Canada,2005,0.650701325187461
Canada,2006,0.547168568924771
Canada,2007,0.432556714824994
Canada,2008,0.440404524931974
Canada,2009,0.671166541812007
Canada,2010,0.996022346313431
Canada,2011,1.03878076962814
Canada,2012,0.95057102161714
Canada,2013,0.9323408178641
Canada,2014,0.910904656161995
Canada,2015,0.81209963146372
Canada,2016,0.836082803058736
Canada,2017,0.780305745451712
Canada,2018,0.60117476522265
Canada,2019,0.491292454601016
Canada,2020,0.495046051800478
Canada,2021,1.21552915538998
Czechia,2004,4.33115183547826
Czechia,2005,4.27542580416814
Czechia,2006,3.9693312232137
Czechia,2007,2.86695433965545
Czechia,2008,2.23104701539977
Czechia,2009,2.10455340978209
Czechia,2010,3.19270574443232
Czechia,2011,2.82801121875934
Czechia,2012,3.05784587809188
Czechia,2013,3.1682688168444
Czechia,2014,2.75891825819549
Czechia,2015,2.47866956771036
Czechia,2016,1.74134021152849
Czechia,2017,1.05826588568936
Czechia,2018,0.725012253340216
Czechia,2019,0.623625228868739
Czechia,2020,0.582760502679923
Czechia,2021,0.812708013575432
Denmark,2004,1.16612464446543
Denmark,2005,1.08892117999452
Denmark,2006,0.736241299977414
Denmark,2007,0.55295209740056
Denmark,2008,0.399445389227874
Denmark,2009,0.610249399530804
Denmark,2010,1.56893357956071
Denmark,2011,1.92483479004512
Denmark,2012,2.22832716903799
Denmark,2013,1.93169726865754
Denmark,2014,1.7951679515437
Denmark,2015,1.73632656149005
Denmark,2016,1.27704358475557
Denmark,2017,1.2503986179146
Denmark,2018,1.02303649266905
Denmark,2019,0.82425807005944
Denmark,2020,0.960098791322649
Denmark,2021,1.00094269817455
Finland,2004,2.07406352426531
Finland,2005,2.100997055743
Finland,2006,1.91507550708826
Finland,2007,1.58775926173674
Finland,2008,1.1602358086774
Finland,2009,1.38468561164437
Finland,2010,2.00995265000192
Finland,2011,1.78045846740494
Finland,2012,1.68129605948027
Finland,2013,1.7561340507936
Finland,2014,2.01430449110281
Finland,2015,2.38454914792921
Finland,2016,2.37673194633214
Finland,2017,2.18228977599188
Finland,2018,1.70010313385879
Finland,2019,1.25476704588019
Finland,2020,1.25421166887235
Finland,2021,1.8762078673976
France,2004,3.58956812833894
France,2005,3.63500779179031
France,2006,3.69820003841376
France,2007,3.207013338646
France,2008,2.78071828270056
France,2009,3.20656864921072
France,2010,3.72234856856382
France,2011,3.81005390453925
France,2012,3.96922438275713
France,2013,4.19385560788214
France,2014,4.41400429068066
